FIPS,Income,Education,Black,Hispanic,Rurality
11001,104643.0,0.9284670297,0.4267731217,0.1199725467,0.0
12001,61843.0,0.9422646229,0.1947907998,0.1262509004,0.2324144965
12003,69399.0,0.851912338,0.1267625494,0.0428299492,0.6149545278
12005,70859.0,0.9076640958,0.1119206999,0.0932017256,0.1420931878
12007,59468.0,0.8268860234,0.1740254146,0.0516189245,0.7074868389
12009,77961.0,0.9313617165,0.1024474401,0.1251842063,0.0388040461
12011,74367.0,0.9027849064,0.2857147225,0.3304640793,7.81742e-05
12013,47523.0,0.8180172934,0.1246473645,0.055159614,1.0
12015,71381.0,0.9224615726,0.0549254369,0.0831061348,0.0649997056
12017,54447.0,0.9088678888,0.0305706196,0.0724972405,0.2497416197
12019,82249.0,0.9332757086,0.1311957116,0.1173254058,0.1442553094
12021,91402.0,0.8998161795,0.0658331478,0.280143949,0.1162282569
12023,58949.0,0.8548877361,0.1709894201,0.0796572821,0.6365175471
12027,54288.0,0.7299081852,0.1190694572,0.3010089219,0.4895808806
12029,50966.0,0.8233780412,0.0892642428,0.0498711709,1.0
12031,69455.0,0.9100473025,0.2945474582,0.1261614517,0.0265075078
12033,70838.0,0.9049380475,0.220819263,0.0701622376,0.07626163
12035,74753.0,0.9308704496,0.0954891623,0.1191807607,0.0765310544
12037,55816.0,0.8306931692,0.0977449579,0.0561378434,1.0
12039,51288.0,0.8128718049,0.5365363995,0.1246321265,0.8051156848
12041,56884.0,0.8553932755,0.0356358809,0.0784193598,1.0
12043,55240.0,0.7236993014,0.1413264508,0.2562177382,0.8269008742
12045,66806.0,0.8673957621,0.1356018607,0.0521251513,1.0
12047,49260.0,0.7833864501,0.2881003637,0.116027021,1.0
12049,53913.0,0.7837127323,0.0759704969,0.4247670807,0.6134559956
12051,54619.0,0.6950284254,0.1012623174,0.5772736713,0.3600040385
12053,64092.0,0.9005640207,0.0575310023,0.1776492315,0.2005809321
12055,51495.0,0.8636437046,0.0981749586,0.2270057799,0.1987652492
12057,76528.0,0.8958320788,0.1643096608,0.3039228583,0.0367231097
12059,51582.0,0.8415431101,0.065433213,0.039410349,1.0
12061,73686.0,0.9198770093,0.0857504638,0.1406401838,0.0724272161
12063,50923.0,0.8321676317,0.2522109333,0.0563530912,0.8824996302
12065,59967.0,0.8775435715,0.302394822,0.0537864078,1.0
12067,58096.0,0.8003064351,0.1079475118,0.1176033672,1.0
12069,70784.0,0.9092496461,0.1131550056,0.1934378107,0.1793174218
12071,71811.0,0.9037970169,0.0817400036,0.2508216777,0.0392798841
12073,66063.0,0.9371034389,0.3130310899,0.0827245691,0.1343746364
12075,53214.0,0.8776441057,0.0895047803,0.1053389193,1.0
12077,51523.0,0.79,0.1735011679,0.0772125616,1.0
12079,52713.0,0.805820261,0.3515848588,0.0640423349,1.0
12081,79213.0,0.9104686252,0.0816037362,0.1821467031,0.0469140127
12083,58584.0,0.896147097,0.1239343447,0.1759517415,0.2934521213
12085,76430.0,0.9272162815,0.0502525794,0.1579769158,0.0732243058
12086,72030.0,0.830557652,0.1447075721,0.6913933589,0.0086354597
12087,85639.0,0.932572598,0.0681023147,0.2478849828,0.1311267708
12089,92766.0,0.923140308,0.0629057842,0.060176747,0.4376992208
12091,81990.0,0.9341657976,0.0967161638,0.1140645598,0.1064119281
12093,54297.0,0.7998674157,0.0766891158,0.2639824269,0.3644687721
12095,78487.0,0.9002746203,0.199218304,0.3378072551,0.0234770349
12097,76416.0,0.88604306,0.1073817225,0.5606029457,0.0630557614
12099,84789.0,0.8913233177,0.1891053663,0.2451211076,0.0084881895
12101,72065.0,0.9121465247,0.068573893,0.19187641,0.072448215
12103,70684.0,0.9256040415,0.1017974284,0.1135071277,0.001904897
12105,66709.0,0.8751872144,0.150053157,0.3027947161,0.108846887
12107,51585.0,0.8221355785,0.1510894609,0.1140017115,0.7267904148
12109,106281.0,0.9513369316,0.0517072256,0.0930273968,0.1479308768
12111,66876.0,0.8862625928,0.2196682959,0.2231159626,0.0353769143
12113,87581.0,0.9263446762,0.0610153474,0.0706185212,0.1990265957
12115,78218.0,0.9436922702,0.0423804884,0.1066729494,0.0241056575
12117,80698.0,0.938853876,0.1209364178,0.2426058963,0.0324451637
12119,79334.0,0.9316555478,0.0652195428,0.0658001518,0.2157731673
12121,56009.0,0.845125561,0.116128333,0.1209624973,0.8466209689
12123,50556.0,0.8621174366,0.1812621629,0.0430914651,0.7003578638
12125,60843.0,0.7832692823,0.1963044038,0.0528586145,1.0
12127,66111.0,0.9194013359,0.106982724,0.1677645899,0.0853700616
12129,72916.0,0.8748507284,0.1350379983,0.0494389421,0.7001540102
12131,82259.0,0.9140790644,0.0477800681,0.0854737476,0.5614766616
12133,54678.0,0.8308993911,0.1295601906,0.0411295993,1.0
13001,51054.0,0.8103069283,0.1849162919,0.1105271713,0.7097158968
13003,44890.0,0.7161396454,0.1512118654,0.2859037743,1.0
13005,48915.0,0.845888521,0.1685544768,0.0842322905,1.0
13007,47850.0,0.9053658537,0.4126868392,0.060153117,1.0
13009,51206.0,0.8521362545,0.417526961,0.0305097244,0.487636704
13011,70067.0,0.8225891578,0.0338571934,0.0755975542,0.9558081508
13013,72075.0,0.8762015276,0.1493878783,0.1628480904,0.3296569068
13015,78771.0,0.8864639268,0.1127945689,0.1089089977,0.3943122653
13017,40325.0,0.8427535599,0.3705628211,0.0681924334,0.3438990345
13019,50581.0,0.8279382667,0.1138395261,0.0637587507,0.7332599119
